,href,title,verse,id
0,https://rustih.ru/osip-mandelshtam-leningrad/,Ленинград,"
Я вернулся в мой город, знакомый до слез,
До прожилок, до детских припухлых желез. 
Ты вернулся сюда, — так глотай же скорей
Рыбий жир ленинградских речных фонарей. 
Узнавай же скорее декабрьский денек,
Где к зловещему дегтю подмешан желток. 
Петербург, я еще не хочу умирать:
У тебя телефонов моих номера. 
Петербург, у меня еще есть адреса,
По которым найду мертвецов голоса. 
Я на лестнице черной живу, и в висок
Ударяет мне вырванный с мясом звонок. 
И всю ночь напролет жду гостей дорогих,
Шевеля кандалами цепочек дверных.

",1
1,https://rustih.ru/osip-mandelshtam-za-gremuchuyu-doblest-gryadushhix-vekov/,За гремучую доблесть грядущих веков,"
За гремучую доблесть грядущих веков,
За высокое племя людей —
Я лишился и чаши на пире отцов,
И веселья, и чести своей.
Мне на плечи кидается век-волкодав,
Но не волк я по крови своей:
Запихай меня лучше, как шапку, в рукав
Жаркой шубы сибирских степей.
Чтоб не видеть ни труса, ни хлипкой грязцы,
Ни кровавых костей в колесе;
Чтоб сияли всю ночь голубые песцы
Мне в своей первобытной красе.
Уведи меня в ночь, где течет Енисей
И сосна до звёзды достает,
Потому что не волк я по крови своей
И меня только равный убьет.

",2
2,https://rustih.ru/osip-mandelshtam-soxrani-moyu-rech-navsegda/,Сохрани мою речь навсегда,"
Сохрани мою речь навсегда за привкус несчастья и дыма,
За смолу кругового терпенья, за совестный деготь труда.
Так вода в новгородских колодцах должна быть черна и сладима,
Чтобы в ней к Рождеству отразилась семью плавниками звезда.
И за это, отец мой, мой друг и помощник мой грубый,
Я — непризнанный брат, отщепенец в народной семье,—
Обещаю построить такие дремучие срубы,
Чтобы в них татарва опускала князей на бадье.
Лишь бы только любили меня эти мерзлые плахи —
Как нацелясь на смерть городки зашибают в саду,—
Я за это всю жизнь прохожу хоть в железной рубахе
И для казни петровской в лесу топорище найду.

",3
3,https://rustih.ru/osip-mandelshtam-v-peterburge-my-sojdemsya-snova/,В Петербурге мы сойдемся снова,"
В Петербурге мы сойдемся снова,
Словно солнце мы похоронили в нем,
И блаженное, бессмысленное слово
В первый раз произнесем.
В черном бархате советской ночи,
В бархате всемирной пустоты,
Все поют блаженных жен родные очи,
Все цветут бессмертные цветы.
Дикой кошкой горбится столица,
На мосту патруль стоит,
Только злой мотор во мгле промчится
И кукушкой прокричит.
Мне не надо пропуска ночного,
Часовых я не боюсь:
За блаженное, бессмысленное слово
Я в ночи советской помолюсь. ",4
4,https://rustih.ru/osip-mandelshtam-eta-oblast-v-temnovode/,Эта область в темноводье,"
Эта область в темноводье —
Хляби хлеба, гроз ведро —
Не дворянское угодье —
Океанское ядро.
Я люблю ее рисунок —
Он на Африку похож.
Дайте свет-прозрачных лунок
На фанере не сочтешь.
— Анна, Россошь и Гремячье, —
Я твержу их имена,
Белизна снегов гагачья
Из вагонного окна.
Я кружил в полях совхозных —
Полон воздуха был рот,
Солнц подсолнечника грозных
Прямо в очи оборот.
Въехал ночью в рукавичный,
Снегом пышущий Тамбов,
Видел Цны — реки обычной —
Белый-белый бел-покров.
Трудодень земли знакомой
Я запомнил навсегда,
Воробьевского райкома
Не забуду никогда.
Где я? Что со мной дурного?
Степь беззимняя гола.
Это мачеха Кольцова,
Шутишь: родина щегла!
Только города немого
В гололедицу обзор,
Только чайника ночного
Сам с собою разговор…
В гуще воздуха степного
Перекличка поездов
Да украинская мова
Их растянутых гудков. ",5
5,https://rustih.ru/osip-mandelshtam-v-raznogolosice-devicheskogo-xora/,В разноголосице девического хора,"
В разноголосице девического хора
Все церкви нежные поют на голос свой,
И в дугах каменных Успенского собора
Мне брови чудятся, высокие, дугой.
И с укрепленного архангелами вала
Я город озирал на чудной высоте.
В стенах Акрополя печаль меня снедала
По русском имени и русской красоте.
Не диво ль дивное, что вертоград нам снится,
Где голуби в горячей синеве,
Что православные крюки поет черница:
Успенье нежное — Флоренция в Москве.
И пятиглавые московские соборы
С их итальянскою и русскою душой
Напоминают мне явление Авроры,
Но с русским именем и в шубке меховой. ",6
6,https://rustih.ru/osip-mandelshtam-noch-doroga-son-pervichnyj/,"Ночь, Дорога, Сон первичный","
Ночь. Дорога. Сон первичный
Соблазнителен и нов…
Что мне снится? Рукавичный
Снегом пышущий Тамбов,
Или Цны — реки обычной —
Белый, белый, бел — покров?
Или я в полях совхозных —
Воздух в рот, и жизнь берет,
Солнц подсолнечника грозных
Прямо в очи оборот?
Кроме хлеба, кроме дома
Снится мне глубокий сон:
Трудодень, подъятый дремой,
Превратился в синий Дон…
Анна, Россошь и Гремячье —
Процветут их имена, —
Белизна снегов гагачья
Из вагонного окна!… ",7
7,https://rustih.ru/osip-mandelshtam-dvorcovaya-ploshhad/,Дворцовая площадь,"
Императорский виссон
И моторов колесницы, —
В черном омуте столицы
Столпник-ангел вознесен.
В темной арке, как пловцы,
Исчезают пешеходы,
И на площади, как воды,
Глухо плещутся торцы.
Только там, где твердь светла,
Черно-желтый лоскут злится,
Словно в воздухе струится
Желчь двуглавого орла. ",8
8,https://rustih.ru/osip-mandelshtam-kogda-v-dalekuyu-koreyu/,Когда в далекую Корею,"
Когда в далекую Корею
Катился русский золотой,
Я убегал в оранжерею,
Держа ириску за щекой.
Была пора смешливой бульбы
И щитовидной железы,
Была пора Тараса Бульбы
И наступающей грозы.
Самоуправство, своевольство,
Поход троянского коня,
А над поленницей посольство
Эфира, солнца и огня.
Был от поленьев воздух жирен,
Как гусеница, на дворе,
И Петропавловску-Цусиме
Ура на дровяной горе…
К царевичу младому Хлору
И — Господи благослови! —
Как мы в высоких голенищах
За хлороформом в гору шли.
Я пережил того подростка,
И широка моя стезя —
Другие сны, другие гнезда,
Но не разбойничать нельзя. ",9
9,https://rustih.ru/osip-mandelshtam-zasnula-chern/,Заснула чернь,"
Заснула чернь. Зияет площадь аркой.
Луной облита бронзовая дверь.
Здесь Арлекин вздыхал о славе яркой,
И Александра здесь замучил Зверь.
Курантов бой и тени государей:
Россия, ты — на камне и крови-
Участвовать в твоей железной каре
Хоть тяжестью меня благослови! ",10
